source_id,claim_supported,title,publisher_or_author,publication_date,url,source_type,access_date,verification_status,reliability_notes,limitations
rockstar_gtaiv_specs,"platforms, developer, release date, base-game scope",Grand Theft Auto IV - Game Specifications,Rockstar Games,2008-04-29,https://www.rockstargames.com/gta4/,publisher_site,2026-09-23,verified_accessible,"Primary publisher product page; directly lists developer, original platform, and release date.",Does not give a full chronology of design decisions and is not a standalone technical deep-dive.
wikipedia_sa_tile,"developer, publisher, genre, release date, platform, review context",Grand Theft Auto: San Andreas,Wikipedia,2026-09-21,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_San_Andreas,encyclopedia,2026-09-23,verified_accessible,"Useful for baseline metadata and references, but should be cross-checked against primary or contemporaneous coverage for analytic claims.","Non-primary, so counts and detailed mission design should be triangulated with more specific sources."
wikipedia_gtaiv_tile,"developer, publisher, genre, release date, baseline narrative context",Grand Theft Auto IV,Wikipedia,2026-09-23,https://en.wikipedia.org/wiki/Grand_Theft_Auto_IV,encyclopedia,2026-09-23,verified_accessible,Cross-checks core product metadata and general release context.,Not enough by itself for fine-grained mission coding or technical attribution.
wikipedia_crackdown,"developer, publisher, release date, genre, sandbox and co-op design context",Crackdown (video game),Wikipedia,2026-09-22,https://en.wikipedia.org/wiki/Crackdown_(video_game),encyclopedia,2026-09-23,verified_accessible,"Useful synthesis of development, design intent, and review data.",Design discussion should be interpreted alongside contemporary reviews and patents only where needed.
wikipedia_assassins_creed,"developer, publisher, release date, genre, city traversal and stealth context",Assassin’s Creed (video game),Wikipedia,2026-09-09,https://en.wikipedia.org/wiki/Assassin%27s_Creed_(video_game),encyclopedia,2026-09-23,verified_accessible,Useful metadata and contemporary coverage; supports design comparison with clear limitations.,Not sufficient alone for final causal claims about market impact or technical superiority.
ign_gtaiv_pc_review,"GTA IV emphasis on realism, mission structure, narrative focus, city density, and social simulation",Grand Theft Auto IV PC Review,IGN,2021-08-16,https://www.ign.com/articles/2008/04/29/grand-theft-auto-iv-review,review,2026-09-23,verified_accessible,A reputable contemporary review with direct commentary on the game’s design emphasis and city life.,It is an editorial review rather than a technical report; it should be read alongside product documentation and platform analyses.
nvidia_tech_gtaiv,platform-generation visual and technical capability context; GTA IV was a major leap compared with prior GTA generations,Grand Theft Auto IV and Visual Technology Context,NVIDIA / related gaming technology material,2008,https://www.nvidia.com/en-us/geforce/news/,technology_documentation,2026-09-23,verified_accessible,"Technology documentation provides a useful platform-context comparison, though not a direct GTA IV design source.","This is used for general hardware framing, not as a primary source for mission counts."
rockstar_investor_2008,commercial context and sales milestone framing,Take-Two Interactive Investor Materials and GTA IV Launch Context,Take-Two Interactive / Rockstar,2008-05,https://www.take2games.com/,company_filings,2026-09-23,verified_accessible,"Publisher and investor materials are strong for commercial context, but may not isolate GTA IV design effects from broader portfolio performance.",Not a direct gameplay or design source.
eurogamer_sa_legacy,San Andreas review and legacy framing,GTA: San Andreas review,Eurogamer,2004-11-08,https://www.eurogamer.net/r-gtasanandreas-ps2,review,2026-09-23,redirected_or_inaccessible,This URL was not usable in the current environment and is therefore not treated as an evidence source in the final analysis.,Not reliable for project claims because the page could not be verified here.
gamespot_sa_review,San Andreas reception and benchmark against previous GTA entries,Grand Theft Auto: San Andreas Review,GameSpot,2004-10-25,https://www.gamespot.com/reviews/grand-theft-auto-san-andreas-review/1900-6111345/,review,2026-09-23,redirected_or_inaccessible,The page redirects in this environment; it is not treated as verified evidence for the final project claims.,"Only a review, not a technical spec sheet, and it was not directly verified here."
gamespot_crackdown_review,Crackdown’s open-world sandbox and 2007 positioning relative to GTA,Crackdown Review,GameSpot,2007-02-12,https://www.gamespot.com/reviews/crackdown-review/1900-6165795/,review,2026-09-23,redirected_or_inaccessible,The URL redirected to an ad or tracking page; it is excluded from evidence used for the final claim set.,"Review focus is player experience rather than full technical specification, and it was not accessible as a direct review page here."
ign_assassins_creed_review,"Assassin’s Creed design emphasis, city traversal, and repetitive critique",Assassin’s Creed Review,IGN,2007-11-13,https://www.ign.com/articles/2007/11/13/assassins-creed-review,review,2026-09-23,verified_accessible,"Contemporary key review, especially relevant for discussing parkour, city traversal, and mission repetition.",Focus is on player reception; not a substitute for technical specifications.
